Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
45,Aaron Bibout,cm CMR,FW,Genk,20,2004,20,12,1107,12.3,6,0,6,6,0,0,0,0,0.49,0.00,0.49,0.49,0.49
46,Glenn Bijl,nl NED,"DF,MF",Antwerp,30,1995,11,8,643,7.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
47,Mateo Biondic,hr CRO,"FW,MF",Union SG,22,2003,15,9,756,8.4,4,2,6,4,0,0,0,0,0.48,0.24,0.71,0.48,0.71
48,Lewin Blum,ch SUI,DF,Charleroi,24,2001,32,17,1784,19.8,0,1,1,0,0,0,8,0,0.00,0.05,0.05,0.00,0.05
49,Bouke Boersma,nl NED,FW,Mechelen,20,2005,17,15,1320,14.7,3,3,6,3,0,0,1,0,0.20,0.20,0.41,0.20,0.41
50,Naoufal Bohamdi-Kamoni,be BEL,FW,Westerlo,17,2007,11,0,116,1.3,0,1,1,0,0,0,0,0,0.00,0.78,0.78,0.00,0.78
51,Boli Bolingoli-Mbombo,be BEL,DF,Standard Liège,30,1995,3,1,116,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
52,Sofiane Boufal,ma MAR,"FW,MF",Union SG,31,1993,9,0,178,2.0,0,1,1,0,0,0,0,0,0.00,0.51,0.51,0.00,0.51
53,Amine Boukamir,ma MAR,MF,Charleroi,18,2006,7,6,448,5.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
54,Mehdi Boukamir,ma MAR,DF,Charleroi,21,2004,16,1,302,3.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
55,Rosen Bozhinov,bg BUL,DF,Antwerp,20,2005,16,15,1278,14.2,1,0,1,1,0,0,1,0,0.07,0.00,0.07,0.07,0.07
56,Myron van Brederode,nl NED,"FW,MF",Mechelen,22,2003,34,32,2833,31.5,9,5,14,8,1,1,2,0,0.29,0.16,0.44,0.25,0.41
57,Lucas Bretelle,fr FRA,MF,La Louvière,23,2002,1,0,14,0.2,0,1,1,0,0,0,0,0,0.00,6.43,6.43,0.00,6.43
58,Lucca Brughmans,be BEL,GK,Genk,17,2008,10,10,900,10.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
59,Eliot Bujupi,xk KVX,FW,Westerlo,19,2006,5,0,13,0.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
60,Christian Burgess,eng ENG,DF,Union SG,33,1991,35,35,3146,35.0,2,3,5,2,0,0,16,1,0.06,0.09,0.14,0.06,0.14
61,Royer Caicedo,co COL,DF,Cercle Brugge,19,2006,2,1,76,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
62,Alexandro Calut,be BEL,"DF,MF",Standard Liège,22,2003,9,4,418,4.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
63,Etienne Camara,fr FRA,MF,Charleroi,22,2003,38,38,3016,33.5,2,3,5,2,0,0,13,1,0.06,0.09,0.15,0.06,0.15
64,Ilay Camara,sn SEN,"DF,MF",Anderlecht,22,2003,25,17,1303,14.5,2,1,3,2,0,0,1,0,0.14,0.07,0.21,0.14,0.21
65,Shandre Campbell,za RSA,MF,Club Brugge,20,2005,11,0,105,1.2,1,0,1,1,0,0,1,0,0.86,0.00,0.86,0.86,0.86
66,Yannick Cappelle,be BEL,"DF,MF",Zulte Waregem,22,2003,30,22,2016,22.4,1,1,2,1,0,0,2,0,0.04,0.04,0.09,0.04,0.09
67,Alessio Castro-Montes,be BEL,MF,Union SG,28,1997,5,2,144,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
68,Vic Chambaere,be BEL,GK,Union SG,22,2003,9,8,765,8.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
69,Nikoloz Chikovani,ge GEO,FW,Charleroi,18,2007,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
70,Ibrahima Cissé,sn SEN,FW,Gent,17,2007,11,1,276,3.1,1,0,1,1,0,0,1,0,0.33,0.00,0.33,0.33,0.33
71,Yoann Cissé,fr FRA,MF,Charleroi,20,2004,5,0,29,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
72,Thomas Claes,be BEL,MF,Zulte Waregem,21,2004,34,32,2775,30.8,2,1,3,2,0,0,3,0,0.06,0.03,0.10,0.06,0.10
